,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$),total (R$)
2165,São Paulo,134.0,3.0,3.0,3.0,8,acept,not furnished,1680.0,,375.0,27.0,4207.0
2166,Belo Horizonte,70.0,,1.0,1.0,11,acept,not furnished,897.0,1300.0,125.0,18.0,2340.0
2167,Rio de Janeiro,57.0,2.0,1.0,0.0,1,,not furnished,100.0,1530.0,0.0,20.0,1650.0
2168,São Paulo,240.0,,,,6,acept,,2600.0,5500.0,,70.0,10000.0
2169,São Paulo,50.0,1.0,1.0,0.0,-,not acept,not furnished,0.0,800.0,34.0,13.0,847.0
2170,Rio de Janeiro,120.0,3.0,2.0,1.0,8,acept,not furnished,1470.0,3550.0,190.0,46.0,5256.0
2171,Porto Alegre,200.0,3.0,3.0,4.0,2,acept,not furnished,2900.0,1200.0,260.0,18.0,4378.0
2172,São Paulo,572.0,6.0,6.0,4.0,-,acept,furnished,0.0,7800.0,2359.0,118.0,10280.0
2173,,145.0,2.0,2.0,1.0,1,acept,furnished,1463.0,4000.0,0.0,51.0,5514.0
2174,Belo Horizonte,70.0,2.0,1.0,2.0,1,not acept,not furnished,,1200.0,97.0,16.0,
2175,Rio de Janeiro,85.0,2.0,2.0,1.0,2,,furnished,3700.0,8000.0,659.0,104.0,12460.0
2176,Belo Horizonte,140.0,3.0,2.0,0.0,2,not acept,not furnished,0.0,3000.0,202.0,40.0,3242.0
2177,São Paulo,260.0,4.0,5.0,5.0,6,acept,not furnished,3000.0,12500.0,1667.0,159.0,
2178,São Paulo,211.0,4.0,4.0,4.0,2,acept,not furnished,1800.0,3390.0,775.0,43.0,6008.0
2179,Campinas,58.0,2.0,1.0,1.0,2,acept,not furnished,280.0,650.0,0.0,9.0,939.0
2180,Rio de Janeiro,110.0,1.0,1.0,2.0,3,acept,not furnished,1936.0,4500.0,341.0,58.0,
2181,São Paulo,72.0,2.0,,0.0,10,acept,not furnished,820.0,1500.0,70.0,20.0,2410.0
2182,São Paulo,,4.0,7.0,8.0,-,,not furnished,0.0,45000.0,8750.0,677.0,54430.0
2183,São Paulo,68.0,1.0,2.0,,5,,not furnished,1040.0,6000.0,229.0,77.0,7346.0
2184,Rio de Janeiro,100.0,3.0,3.0,2.0,,acept,,1167.0,2700.0,95.0,,3997.0
2185,São Paulo,240.0,3.0,2.0,0.0,,acept,furnished,,6500.0,444.0,83.0,8744.0
2186,Rio de Janeiro,104.0,3.0,1.0,0.0,6,acept,not furnished,784.0,3500.0,195.0,46.0,4525.0
2187,Campinas,70.0,1.0,1.0,1.0,2,acept,furnished,290.0,1600.0,70.0,21.0,1981.0
2188,São Paulo,67.0,1.0,1.0,1.0,14,acept,furnished,920.0,2600.0,72.0,33.0,3625.0
2189,Belo Horizonte,,4.0,2.0,,-,acept,,0.0,3780.0,167.0,62.0,4009.0
2190,Belo Horizonte,64.0,3.0,1.0,0.0,3,not acept,,215.0,1400.0,27.0,19.0,1661.0
2191,São Paulo,,3.0,3.0,5.0,8,not acept,furnished,,8000.0,710.0,102.0,10810.0
2192,Campinas,38.0,1.0,1.0,0.0,3,not acept,not furnished,376.0,,15.0,10.0,1151.0
2193,São Paulo,34.0,1.0,1.0,0.0,12,acept,not furnished,372.0,,57.0,35.0,3164.0
2194,São Paulo,54.0,2.0,1.0,0.0,7,acept,not furnished,,2001.0,0.0,26.0,2562.0
2195,São Paulo,54.0,1.0,1.0,1.0,1,not acept,furnished,1050.0,7200.0,250.0,92.0,8592.0
2196,,,3.0,2.0,4.0,-,acept,not furnished,0.0,3500.0,500.0,53.0,4053.0
2197,São Paulo,107.0,3.0,2.0,2.0,1,acept,not furnished,1122.0,,350.0,33.0,4105.0
2198,Rio de Janeiro,70.0,2.0,2.0,,11,,not furnished,879.0,1550.0,77.0,20.0,2526.0
2199,São Paulo,20.0,1.0,1.0,0.0,5,acept,furnished,602.0,1800.0,130.0,23.0,
2200,São Paulo,86.0,2.0,1.0,1.0,5,acept,,,,0.0,8.0,3350.0
2201,Rio de Janeiro,30.0,1.0,1.0,1.0,-,acept,not furnished,0.0,1480.0,25.0,20.0,1525.0
2202,Porto Alegre,108.0,3.0,2.0,,3,acept,furnished,826.0,2000.0,89.0,30.0,2945.0
2203,São Paulo,250.0,4.0,3.0,4.0,,acept,not furnished,0.0,2700.0,,41.0,2895.0
2204,São Paulo,80.0,,1.0,0.0,4,acept,not furnished,740.0,2200.0,92.0,,3060.0
2205,Rio de Janeiro,73.0,2.0,1.0,1.0,8,acept,not furnished,,1100.0,0.0,15.0,
2206,Porto Alegre,45.0,1.0,1.0,1.0,3,acept,not furnished,250.0,1205.0,72.0,18.0,1545.0
2207,São Paulo,45.0,2.0,2.0,0.0,-,not acept,not furnished,0.0,1650.0,84.0,25.0,1759.0
2208,São Paulo,255.0,4.0,4.0,0.0,15,,furnished,4000.0,2500.0,1484.0,,8016.0
2209,Belo Horizonte,217.0,4.0,,4.0,12,acept,not furnished,2644.0,,1177.0,80.0,9901.0
2210,São Paulo,70.0,1.0,1.0,0.0,2,,not furnished,472.0,1870.0,,24.0,2366.0
2211,São Paulo,25.0,1.0,1.0,0.0,1,not acept,not furnished,0.0,885.0,0.0,12.0,
2212,,110.0,3.0,3.0,0.0,,acept,not furnished,400.0,3250.0,75.0,48.0,3773.0
2213,São Paulo,80.0,2.0,2.0,1.0,12,acept,not furnished,,10000.0,109.0,127.0,11440.0
2214,São Paulo,260.0,3.0,5.0,0.0,,acept,not furnished,0.0,9000.0,634.0,136.0,9770.0
2215,São Paulo,50.0,2.0,,1.0,10,acept,not furnished,624.0,2700.0,82.0,35.0,3441.0
2216,Campinas,60.0,2.0,1.0,1.0,1,not acept,not furnished,430.0,815.0,20.0,6.0,1271.0
2217,São Paulo,,3.0,6.0,6.0,-,acept,furnished,0.0,6500.0,375.0,98.0,6973.0
2218,,113.0,2.0,1.0,1.0,4,acept,not furnished,1000.0,3000.0,,39.0,4089.0
2219,,400.0,4.0,4.0,6.0,8,acept,not furnished,3900.0,8000.0,1750.0,102.0,
2220,Porto Alegre,64.0,2.0,2.0,,6,acept,,,2250.0,50.0,33.0,2783.0
2221,São Paulo,82.0,2.0,1.0,2.0,10,acept,furnished,2020.0,3100.0,333.0,40.0,5493.0
2222,São Paulo,65.0,2.0,1.0,3.0,9,acept,not furnished,800.0,,217.0,26.0,3043.0
2223,Porto Alegre,128.0,4.0,3.0,2.0,3,,not furnished,1160.0,4900.0,409.0,88.0,6557.0
2224,São Paulo,,1.0,1.0,0.0,1,not acept,not furnished,60.0,950.0,0.0,13.0,1023.0
2225,Campinas,175.0,3.0,2.0,0.0,-,,not furnished,,2000.0,0.0,31.0,
2226,São Paulo,107.0,,3.0,2.0,3,acept,not furnished,1600.0,,,58.0,6575.0
2227,Rio de Janeiro,257.0,4.0,3.0,2.0,3,acept,furnished,3250.0,3800.0,709.0,49.0,7808.0
2228,São Paulo,35.0,,1.0,1.0,2,not acept,furnished,550.0,3250.0,30.0,,3872.0
2229,São Paulo,463.0,4.0,7.0,6.0,-,acept,not furnished,0.0,,1264.0,181.0,13450.0
2230,Rio de Janeiro,40.0,2.0,1.0,,7,acept,not furnished,335.0,920.0,55.0,12.0,1322.0
2231,Belo Horizonte,297.0,4.0,2.0,3.0,6,acept,not furnished,2000.0,1870.0,209.0,15.0,
2232,São Paulo,137.0,3.0,3.0,1.0,9,acept,furnished,1247.0,5500.0,303.0,,7120.0
2233,Rio de Janeiro,35.0,1.0,1.0,0.0,10,not acept,not furnished,498.0,1200.0,80.0,16.0,1794.0
2234,Rio de Janeiro,128.0,3.0,3.0,1.0,8,acept,furnished,950.0,3500.0,242.0,46.0,4738.0
2235,Belo Horizonte,59.0,2.0,1.0,1.0,2,acept,not furnished,190.0,1250.0,70.0,17.0,
2236,Rio de Janeiro,400.0,4.0,4.0,2.0,-,acept,not furnished,,11480.0,1357.0,175.0,13640.0
2237,Rio de Janeiro,100.0,3.0,2.0,1.0,5,not acept,not furnished,980.0,4500.0,125.0,,5663.0
2238,,50.0,1.0,1.0,0.0,10,acept,furnished,680.0,,85.0,29.0,2994.0
2239,Porto Alegre,80.0,2.0,,1.0,5,acept,,,1900.0,120.0,,2788.0
2240,,68.0,2.0,2.0,2.0,,acept,not furnished,230.0,1650.0,154.0,22.0,2056.0
2241,São Paulo,32.0,1.0,1.0,1.0,22,acept,furnished,2000.0,2000.0,416.0,26.0,4442.0
2242,Rio de Janeiro,161.0,3.0,3.0,3.0,14,acept,not furnished,1300.0,4500.0,640.0,58.0,6498.0
2243,São Paulo,85.0,,2.0,0.0,-,acept,not furnished,0.0,,,26.0,1726.0
2244,São Paulo,100.0,2.0,2.0,0.0,-,acept,not furnished,0.0,2500.0,274.0,,2812.0
2245,São Paulo,136.0,3.0,4.0,3.0,7,acept,not furnished,1400.0,5000.0,117.0,64.0,6581.0
2246,São Paulo,362.0,4.0,5.0,2.0,-,acept,not furnished,0.0,,834.0,,7940.0
2247,São Paulo,276.0,3.0,3.0,,15,acept,furnished,3600.0,6500.0,1650.0,83.0,
2248,Rio de Janeiro,22.0,1.0,1.0,0.0,2,not acept,,50.0,1322.0,59.0,16.0,1447.0
2249,Porto Alegre,,2.0,1.0,0.0,1,acept,not furnished,114.0,980.0,42.0,15.0,1151.0
2250,São Paulo,500.0,4.0,7.0,8.0,-,acept,not furnished,0.0,9250.0,1167.0,140.0,10560.0
2251,Porto Alegre,65.0,1.0,1.0,1.0,3,,not furnished,426.0,980.0,38.0,15.0,1459.0
2252,São Paulo,56.0,2.0,,1.0,11,acept,not furnished,350.0,2600.0,0.0,33.0,2983.0
2253,São Paulo,35.0,1.0,1.0,1.0,4,,,300.0,2840.0,10.0,36.0,3186.0
2254,Porto Alegre,98.0,3.0,2.0,2.0,4,not acept,,700.0,,100.0,38.0,3388.0
2255,São Paulo,,1.0,1.0,0.0,1,not acept,not furnished,0.0,,,15.0,995.0
2256,Porto Alegre,48.0,,1.0,1.0,2,,not furnished,,800.0,35.0,12.0,1147.0
2257,Campinas,48.0,1.0,1.0,,4,acept,furnished,490.0,1500.0,42.0,20.0,2052.0
2258,São Paulo,114.0,2.0,3.0,1.0,1,,furnished,902.0,7010.0,167.0,89.0,8168.0
2259,Belo Horizonte,197.0,4.0,2.0,3.0,,acept,not furnished,,4250.0,400.0,57.0,5557.0
2260,Belo Horizonte,200.0,4.0,1.0,,4,acept,not furnished,345.0,2500.0,209.0,34.0,3088.0
2261,Belo Horizonte,110.0,3.0,2.0,0.0,-,acept,not furnished,0.0,2500.0,0.0,41.0,2541.0
2262,São Paulo,300.0,2.0,4.0,2.0,-,acept,not furnished,0.0,6000.0,419.0,91.0,6510.0
2263,Belo Horizonte,120.0,3.0,1.0,1.0,6,not acept,not furnished,,1900.0,140.0,26.0,3206.0
2264,Porto Alegre,40.0,1.0,1.0,0.0,3,acept,furnished,,1084.0,46.0,,1516.0
2265,São Paulo,,,1.0,1.0,7,not acept,furnished,690.0,3950.0,0.0,51.0,4691.0
2266,São Paulo,140.0,3.0,2.0,2.0,3,acept,not furnished,1640.0,5500.0,583.0,70.0,7793.0
2267,São Paulo,,4.0,3.0,4.0,2,acept,not furnished,3460.0,7000.0,1000.0,89.0,11550.0
2268,Porto Alegre,59.0,2.0,1.0,,3,,not furnished,326.0,1000.0,42.0,15.0,1383.0
2269,Rio de Janeiro,35.0,1.0,1.0,0.0,3,,not furnished,0.0,791.0,,11.0,832.0
2270,São Paulo,120.0,3.0,2.0,3.0,16,acept,not furnished,1400.0,2000.0,292.0,26.0,3718.0
2271,São Paulo,248.0,4.0,5.0,4.0,1,not acept,not furnished,,9100.0,250.0,116.0,11970.0
2272,São Paulo,63.0,2.0,2.0,1.0,17,acept,not furnished,783.0,1690.0,27.0,22.0,2522.0
2273,São Paulo,45.0,,1.0,1.0,8,acept,not furnished,694.0,1800.0,172.0,23.0,2689.0
2274,São Paulo,129.0,,3.0,2.0,,acept,furnished,1100.0,2376.0,334.0,38.0,
2275,São Paulo,300.0,3.0,3.0,8.0,,acept,not furnished,0.0,,400.0,71.0,5146.0
2276,São Paulo,,1.0,1.0,1.0,4,not acept,,650.0,2200.0,118.0,28.0,2996.0
2277,,100.0,3.0,2.0,1.0,2,acept,not furnished,745.0,1300.0,119.0,18.0,2182.0
2278,São Paulo,153.0,4.0,3.0,3.0,3,acept,not furnished,,5500.0,700.0,70.0,8770.0
2279,Campinas,87.0,2.0,,1.0,4,acept,not furnished,780.0,1200.0,52.0,16.0,2048.0
2280,São Paulo,75.0,1.0,,2.0,8,acept,,976.0,7000.0,323.0,89.0,8388.0
2281,Rio de Janeiro,300.0,4.0,4.0,2.0,,acept,not furnished,4100.0,12750.0,1334.0,165.0,18350.0
2282,Porto Alegre,48.0,1.0,1.0,0.0,4,acept,not furnished,340.0,700.0,300.0,11.0,1351.0
2283,São Paulo,56.0,,2.0,,4,acept,not furnished,500.0,2000.0,0.0,26.0,2526.0
2284,Campinas,71.0,,1.0,1.0,7,acept,not furnished,670.0,,114.0,13.0,1774.0
2285,São Paulo,84.0,4.0,1.0,3.0,5,not acept,not furnished,1914.0,6000.0,804.0,77.0,8795.0
2286,São Paulo,208.0,3.0,4.0,3.0,-,not acept,not furnished,0.0,3490.0,476.0,53.0,4019.0
2287,,100.0,1.0,2.0,1.0,13,not acept,not furnished,1520.0,6000.0,348.0,77.0,7945.0
2288,São Paulo,84.0,,2.0,2.0,7,acept,furnished,,2200.0,,28.0,2839.0
2289,São Paulo,145.0,4.0,3.0,2.0,1,acept,not furnished,1644.0,4800.0,500.0,,7005.0
2290,São Paulo,300.0,4.0,3.0,2.0,-,acept,furnished,0.0,,,226.0,16270.0
2291,São Paulo,65.0,2.0,2.0,1.0,12,not acept,furnished,980.0,6000.0,250.0,77.0,7307.0
2292,São Paulo,27.0,1.0,1.0,0.0,-,,not furnished,0.0,,0.0,13.0,849.0
2293,Rio de Janeiro,102.0,3.0,2.0,1.0,2,acept,not furnished,1900.0,1350.0,140.0,18.0,3408.0
2294,Campinas,60.0,2.0,,1.0,1,not acept,furnished,385.0,2848.0,,37.0,3334.0
2295,Porto Alegre,60.0,1.0,1.0,0.0,1,acept,,230.0,1286.0,70.0,,1605.0
2296,Rio de Janeiro,50.0,1.0,1.0,0.0,10,acept,not furnished,520.0,1620.0,0.0,21.0,2161.0
2297,São Paulo,97.0,3.0,1.0,1.0,10,acept,not furnished,762.0,2300.0,25.0,30.0,3117.0
2298,,52.0,1.0,,1.0,19,acept,not furnished,1100.0,5000.0,210.0,64.0,6374.0
2299,,373.0,4.0,4.0,3.0,,acept,not furnished,,12750.0,1417.0,162.0,18830.0
2300,São Paulo,157.0,4.0,3.0,2.0,,acept,not furnished,0.0,6608.0,492.0,100.0,7200.0
2301,,68.0,3.0,1.0,1.0,2,acept,,555.0,1100.0,50.0,14.0,1719.0
2302,São Paulo,172.0,4.0,4.0,3.0,15,acept,furnished,1650.0,8800.0,890.0,112.0,11450.0
2303,São Paulo,64.0,2.0,2.0,2.0,25,not acept,not furnished,865.0,3500.0,0.0,45.0,
2304,Rio de Janeiro,41.0,1.0,1.0,0.0,9,acept,not furnished,800.0,1700.0,85.0,22.0,2607.0
2305,Rio de Janeiro,106.0,2.0,2.0,1.0,2,acept,,900.0,,296.0,37.0,4083.0
2306,Belo Horizonte,150.0,4.0,2.0,,1,acept,furnished,900.0,3300.0,340.0,44.0,4584.0
2307,Belo Horizonte,135.0,4.0,2.0,2.0,4,acept,not furnished,450.0,3500.0,,47.0,4114.0
2308,São Paulo,350.0,4.0,6.0,6.0,-,acept,furnished,0.0,9600.0,,145.0,11110.0
2309,,360.0,3.0,1.0,3.0,-,acept,,0.0,1500.0,142.0,25.0,1667.0
2310,São Paulo,700.0,4.0,7.0,8.0,-,acept,furnished,,15000.0,2250.0,226.0,17480.0
2311,Rio de Janeiro,100.0,2.0,,1.0,6,acept,furnished,2400.0,8900.0,380.0,115.0,11800.0
2312,,50.0,,1.0,2.0,4,acept,not furnished,300.0,1200.0,0.0,16.0,1516.0
2313,São Paulo,55.0,3.0,1.0,1.0,3,acept,not furnished,458.0,1300.0,0.0,17.0,1775.0
2314,São Paulo,215.0,4.0,4.0,2.0,10,not acept,not furnished,1950.0,6000.0,834.0,77.0,8861.0
2315,São Paulo,287.0,3.0,2.0,5.0,-,acept,not furnished,0.0,,0.0,226.0,15230.0
2316,,58.0,2.0,1.0,1.0,3,acept,furnished,383.0,,43.0,,1946.0
2317,São Paulo,90.0,3.0,2.0,2.0,10,acept,not furnished,,1600.0,300.0,21.0,2771.0
2318,São Paulo,200.0,3.0,3.0,3.0,-,acept,not furnished,0.0,3315.0,241.0,50.0,3606.0
2319,São Paulo,65.0,,2.0,1.0,8,acept,not furnished,,2200.0,5.0,28.0,2883.0
2320,São Paulo,820.0,4.0,6.0,6.0,-,acept,not furnished,2500.0,10000.0,2500.0,,15150.0
2321,São Paulo,,2.0,1.0,0.0,3,acept,not furnished,538.0,2000.0,109.0,26.0,2673.0
2322,Rio de Janeiro,108.0,3.0,2.0,2.0,3,acept,,2000.0,4500.0,442.0,58.0,7000.0
2323,São Paulo,86.0,3.0,2.0,2.0,6,acept,furnished,800.0,3100.0,203.0,40.0,4143.0
2324,Campinas,210.0,6.0,3.0,0.0,,acept,not furnished,0.0,4200.0,0.0,64.0,4264.0
2325,Belo Horizonte,140.0,4.0,2.0,2.0,4,acept,not furnished,995.0,4200.0,462.0,56.0,5713.0
2326,São Paulo,220.0,4.0,4.0,3.0,2,acept,not furnished,2500.0,4500.0,1042.0,58.0,8100.0
2327,Campinas,66.0,,1.0,1.0,-,acept,not furnished,265.0,1100.0,34.0,,1413.0
2328,São Paulo,389.0,4.0,5.0,6.0,4,acept,not furnished,4000.0,8500.0,1834.0,108.0,
2329,São Paulo,80.0,3.0,3.0,1.0,11,not acept,not furnished,934.0,1700.0,25.0,22.0,2681.0
2330,São Paulo,78.0,2.0,2.0,1.0,1,acept,not furnished,,2200.0,,28.0,3168.0
2331,São Paulo,178.0,4.0,,5.0,-,acept,not furnished,0.0,6000.0,459.0,91.0,6550.0
2332,São Paulo,,2.0,,1.0,4,acept,not furnished,,1140.0,64.0,15.0,1784.0
2333,Belo Horizonte,160.0,,1.0,1.0,-,acept,not furnished,0.0,2150.0,0.0,36.0,2186.0
2334,Rio de Janeiro,25.0,1.0,1.0,0.0,1,acept,not furnished,50.0,700.0,,10.0,760.0
2335,São Paulo,80.0,2.0,,2.0,-,acept,not furnished,50.0,1700.0,177.0,26.0,
2336,São Paulo,144.0,3.0,3.0,2.0,-,acept,furnished,0.0,5000.0,109.0,76.0,5185.0
2337,Campinas,400.0,5.0,7.0,4.0,5,acept,not furnished,3200.0,7900.0,,101.0,12090.0
2338,Belo Horizonte,100.0,3.0,2.0,1.0,-,acept,not furnished,0.0,14500.0,423.0,,15160.0
2339,,48.0,2.0,1.0,0.0,2,acept,,90.0,1150.0,,15.0,1345.0
2340,São Paulo,64.0,3.0,2.0,2.0,16,acept,not furnished,500.0,1530.0,34.0,20.0,2084.0
2341,Porto Alegre,50.0,2.0,1.0,0.0,-,acept,not furnished,100.0,700.0,100.0,,911.0
2342,,50.0,1.0,1.0,1.0,11,acept,furnished,1140.0,5156.0,117.0,66.0,6479.0
2343,São Paulo,60.0,2.0,2.0,1.0,5,acept,not furnished,700.0,1465.0,100.0,19.0,2284.0
2344,Rio de Janeiro,180.0,3.0,2.0,1.0,2,acept,not furnished,2000.0,4800.0,377.0,62.0,7239.0
2345,São Paulo,,3.0,3.0,4.0,-,acept,not furnished,0.0,3880.0,353.0,59.0,4292.0
2346,Campinas,54.0,1.0,1.0,1.0,,,furnished,751.0,2350.0,127.0,30.0,3258.0
2347,São Paulo,420.0,4.0,6.0,4.0,10,acept,not furnished,5700.0,12000.0,3167.0,,21020.0
2348,Campinas,350.0,4.0,5.0,4.0,-,acept,,,8000.0,417.0,,9218.0
2349,São Paulo,72.0,2.0,2.0,2.0,6,not acept,not furnished,,3060.0,250.0,39.0,4149.0
2350,São Paulo,50.0,1.0,,0.0,-,not acept,not furnished,,,59.0,13.0,872.0
2351,São Paulo,450.0,4.0,,4.0,-,acept,,0.0,11000.0,1417.0,,12580.0
2352,Rio de Janeiro,60.0,2.0,,,6,,furnished,800.0,,92.0,38.0,3830.0
2353,São Paulo,160.0,2.0,3.0,3.0,-,acept,not furnished,0.0,7500.0,417.0,113.0,8030.0
2354,Belo Horizonte,450.0,4.0,4.0,,10,not acept,not furnished,2200.0,13500.0,1130.0,180.0,17010.0
2355,São Paulo,265.0,,,3.0,-,acept,furnished,0.0,3490.0,450.0,53.0,3993.0
2356,São Paulo,103.0,3.0,1.0,3.0,2,acept,not furnished,1054.0,3400.0,94.0,,4592.0
2357,São Paulo,60.0,2.0,,,8,acept,not furnished,640.0,1650.0,0.0,21.0,2311.0
2358,São Paulo,136.0,3.0,3.0,3.0,15,acept,furnished,,7900.0,490.0,101.0,9941.0
2359,Belo Horizonte,45.0,2.0,1.0,1.0,5,not acept,not furnished,227.0,750.0,28.0,10.0,1015.0
2360,,206.0,3.0,,4.0,25,acept,not furnished,1800.0,12500.0,,159.0,15220.0
2361,São Paulo,229.0,4.0,2.0,,2,acept,furnished,1100.0,5500.0,409.0,,7079.0
2362,Campinas,,1.0,,1.0,2,not acept,not furnished,450.0,1000.0,35.0,13.0,1498.0
2363,São Paulo,130.0,3.0,2.0,0.0,18,acept,furnished,1386.0,4500.0,574.0,58.0,6518.0
2364,Campinas,87.0,2.0,1.0,0.0,10,acept,not furnished,415.0,1100.0,82.0,14.0,1611.0
2365,São Paulo,200.0,4.0,5.0,3.0,7,not acept,not furnished,,6000.0,250.0,77.0,9077.0
2366,Rio de Janeiro,50.0,1.0,1.0,1.0,2,acept,,170.0,1320.0,0.0,18.0,1508.0
2367,São Paulo,120.0,3.0,2.0,1.0,,acept,not furnished,0.0,,,46.0,3541.0
2368,São Paulo,40.0,1.0,1.0,0.0,,not acept,not furnished,600.0,1300.0,,17.0,2028.0
2369,São Paulo,54.0,2.0,1.0,1.0,-,acept,not furnished,600.0,1800.0,129.0,23.0,2552.0
2370,São Paulo,48.0,2.0,1.0,0.0,2,acept,not furnished,100.0,,0.0,18.0,1468.0
2371,São Paulo,149.0,3.0,4.0,3.0,,acept,furnished,1300.0,6000.0,550.0,77.0,7927.0
2372,São Paulo,45.0,2.0,1.0,1.0,14,acept,not furnished,270.0,1500.0,82.0,,1872.0
2373,São Paulo,76.0,2.0,2.0,2.0,4,not acept,not furnished,,2650.0,130.0,34.0,3664.0
2374,,60.0,2.0,1.0,0.0,3,acept,,487.0,1850.0,0.0,24.0,2361.0
2375,São Paulo,118.0,3.0,,2.0,5,not acept,not furnished,,9000.0,352.0,115.0,11270.0
2376,São Paulo,200.0,2.0,3.0,1.0,2,not acept,furnished,2300.0,13000.0,625.0,165.0,16090.0
2377,São Paulo,200.0,2.0,,1.0,,acept,not furnished,,5000.0,0.0,76.0,5076.0
2378,São Paulo,138.0,3.0,4.0,2.0,18,acept,furnished,1500.0,10000.0,527.0,127.0,12150.0
2379,São Paulo,53.0,2.0,,1.0,8,acept,furnished,950.0,1200.0,0.0,16.0,2166.0
2380,Porto Alegre,61.0,1.0,1.0,,13,,furnished,1237.0,,104.0,56.0,5197.0
2381,São Paulo,135.0,3.0,3.0,2.0,7,not acept,furnished,1855.0,2800.0,641.0,36.0,5332.0
2382,São Paulo,50.0,1.0,1.0,0.0,-,not acept,not furnished,0.0,750.0,25.0,12.0,787.0
2383,São Paulo,34.0,1.0,1.0,1.0,9,,not furnished,1200.0,1300.0,100.0,17.0,2617.0
2384,São Paulo,218.0,3.0,3.0,3.0,17,not acept,not furnished,2300.0,4000.0,775.0,51.0,7126.0
2385,,400.0,3.0,5.0,4.0,20,acept,furnished,3500.0,10000.0,1250.0,127.0,14880.0
2386,Belo Horizonte,25.0,,,1.0,1,not acept,not furnished,0.0,550.0,84.0,8.0,
2387,,360.0,5.0,3.0,3.0,-,acept,not furnished,0.0,3500.0,0.0,63.0,3563.0
2388,São Paulo,72.0,2.0,1.0,1.0,9,acept,not furnished,990.0,2630.0,378.0,34.0,4032.0
2389,São Paulo,45.0,2.0,1.0,1.0,17,acept,not furnished,300.0,1600.0,34.0,21.0,1955.0
2390,Belo Horizonte,340.0,3.0,5.0,5.0,-,,not furnished,0.0,4600.0,211.0,76.0,
2391,São Paulo,130.0,3.0,3.0,2.0,-,,not furnished,0.0,3100.0,130.0,47.0,3277.0
2392,São Paulo,72.0,3.0,2.0,2.0,15,acept,not furnished,616.0,3000.0,,39.0,3900.0
2393,São Paulo,50.0,1.0,1.0,0.0,-,not acept,not furnished,,900.0,0.0,14.0,914.0
2394,São Paulo,100.0,2.0,2.0,0.0,,not acept,furnished,1100.0,4999.0,50.0,64.0,6213.0
2395,São Paulo,270.0,3.0,2.0,4.0,,acept,not furnished,3200.0,13000.0,1250.0,165.0,17620.0
2396,Belo Horizonte,60.0,2.0,1.0,1.0,3,acept,,122.0,1325.0,0.0,18.0,1465.0
2397,Belo Horizonte,46335.0,4.0,8.0,5.0,,acept,furnished,960.0,8500.0,646.0,114.0,10220.0
2398,Belo Horizonte,700.0,3.0,3.0,8.0,,acept,not furnished,,10000.0,807.0,164.0,10970.0
2399,São Paulo,550.0,4.0,5.0,0.0,1,acept,not furnished,,8800.0,,,11610.0
2400,Belo Horizonte,21.0,1.0,,1.0,2,not acept,not furnished,1000.0,980.0,0.0,14.0,1994.0
2401,,55.0,1.0,2.0,1.0,17,acept,not furnished,777.0,3800.0,100.0,49.0,4726.0
2402,São Paulo,40.0,1.0,2.0,1.0,28,not acept,,1935.0,4200.0,318.0,54.0,6507.0
2403,Belo Horizonte,50.0,1.0,1.0,1.0,12,not acept,furnished,571.0,1500.0,100.0,20.0,2191.0
2404,,52.0,1.0,1.0,1.0,15,,furnished,650.0,3950.0,290.0,51.0,4941.0
2405,São Paulo,46.0,2.0,1.0,1.0,6,acept,not furnished,280.0,,9.0,19.0,1742.0
2406,Belo Horizonte,20.0,1.0,1.0,1.0,-,acept,furnished,0.0,1100.0,0.0,,1115.0
2407,São Paulo,,1.0,,0.0,-,,not furnished,0.0,1050.0,59.0,16.0,1125.0
2408,Rio de Janeiro,,1.0,2.0,1.0,10,acept,not furnished,761.0,2400.0,133.0,31.0,3325.0
2409,Porto Alegre,440.0,3.0,2.0,3.0,6,not acept,not furnished,100.0,10500.0,84.0,154.0,10840.0
2410,Porto Alegre,59.0,2.0,1.0,1.0,,acept,not furnished,,900.0,62.0,14.0,1358.0
2411,Belo Horizonte,150.0,4.0,1.0,3.0,,acept,not furnished,,2300.0,0.0,38.0,2338.0
2412,São Paulo,100.0,3.0,2.0,0.0,,acept,not furnished,750.0,2020.0,,26.0,2928.0
2413,São Paulo,72.0,,2.0,1.0,4,acept,not furnished,880.0,2100.0,27.0,27.0,3034.0
2414,São Paulo,500.0,7.0,7.0,8.0,-,not acept,furnished,0.0,9000.0,1667.0,136.0,10800.0
2415,São Paulo,264.0,3.0,5.0,0.0,-,acept,,,6000.0,488.0,91.0,6579.0
2416,São Paulo,76.0,2.0,2.0,2.0,14,acept,not furnished,909.0,5500.0,299.0,70.0,6778.0
2417,São Paulo,16.0,1.0,1.0,0.0,1,not acept,not furnished,0.0,870.0,0.0,,882.0
2418,São Paulo,198.0,3.0,2.0,2.0,8,,not furnished,1400.0,3250.0,334.0,,5026.0
2419,São Paulo,190.0,3.0,2.0,1.0,3,acept,not furnished,1600.0,,,51.0,5751.0
2420,São Paulo,210.0,4.0,4.0,4.0,4,not acept,not furnished,2857.0,11500.0,1480.0,146.0,15980.0
